TEAM_ID,TEAM_NAME,GP,W,L,W_PCT,MIN,E_OFF_RATING,OFF_RATING,E_DEF_RATING,DEF_RATING,E_NET_RATING,NET_RATING,AST_PCT,AST_TO,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,TM_TOV_PCT,EFG_PCT,TS_PCT,E_PACE,PACE,PACE_PER40,POSS,PIE,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,OFF_RATING_RANK,DEF_RATING_RANK,NET_RATING_RANK,AST_PCT_RANK,AST_TO_RANK,AST_RATIO_RANK,OREB_PCT_RANK,DREB_PCT_RANK,REB_PCT_RANK,TM_TOV_PCT_RANK,EFG_PCT_RANK,TS_PCT_RANK,PACE_RANK,PIE_RANK,SEASON
1610612740,New Orleans Pelicans,82,34,48,0.415,3971,104.7,106.2,107.3,109.1,-2.6,-3,0.563,1.55,16.5,0.305,0.694,0.497,0.147,0.495,0.537,94.5,93.07,77.56,7703,0.483,1,21,21,21,10,13,27,22,24,11,17,13,23,20,7,17,16,20,20,2013-14
1610612752,New York Knicks,82,37,45,0.451,3971,105.4,107,106.5,108.1,-1,-1.1,0.542,1.54,16,0.291,0.705,0.492,0.141,0.505,0.541,92.6,91.24,76.04,7556,0.49,1,19,19,19,10,11,24,18,27,12,25,18,17,22,3,12,14,28,19,2013-14
1610612760,Oklahoma City Thunder,82,59,23,0.72,3961,108.1,109.4,101,103,7.1,6.4,0.562,1.43,16.6,0.294,0.722,0.518,0.158,0.52,0.566,97.9,96.33,80.27,7954,0.543,1,2,2,2,20,7,5,3,25,20,15,17,5,4,20,6,5,9,4,2013-14
1610612753,Orlando Magic,82,23,59,0.28,3991,99.3,101,104.8,106.6,-5.5,-5.7,0.571,1.41,16.4,0.267,0.714,0.49,0.156,0.487,0.525,95.9,94.27,78.56,7837,0.466,1,28,28,28,2,29,18,26,21,22,20,25,10,24,17,20,22,17,24,2013-14
1610612755,Philadelphia 76ers,82,19,63,0.232,3971,96.8,99,107.5,109,-10.7,-10,0.576,1.29,16,0.29,0.684,0.479,0.168,0.475,0.51,101.6,99.74,83.11,8236,0.426,1,29,29,29,14,30,26,30,17,28,26,19,28,27,30,29,30,1,30,2013-14
1610612756,Phoenix Suns,82,48,34,0.585,3951,107.1,108.2,103.8,105.6,3.3,2.6,0.493,1.24,14.7,0.298,0.699,0.5,0.158,0.519,0.558,98.2,96.83,80.69,7973,0.509,1,11,11,11,25,8,14,10,30,29,29,14,21,16,18,7,7,7,14,2013-14
1610612757,Portland Trail Blazers,82,54,28,0.659,3971,108.3,110.4,104.7,106.2,3.5,4.2,0.594,1.69,17.2,0.32,0.713,0.517,0.142,0.504,0.548,97.5,95.9,79.91,7930,0.524,1,5,5,5,10,2,16,8,11,6,11,4,11,6,5,14,11,10,9,2013-14
1610612758,Sacramento Kings,82,28,54,0.341,3966,102.9,105.1,106.3,107.8,-3.4,-2.7,0.511,1.24,14.6,0.316,0.725,0.518,0.159,0.484,0.532,96.7,95.04,79.2,7840,0.473,1,24,24,24,15,17,23,21,29,30,30,6,2,2,23,23,20,14,22,2013-14
1610612759,San Antonio Spurs,82,62,20,0.756,3951,108.2,109.5,100.1,101.4,8.1,8.1,0.621,1.75,19,0.261,0.725,0.503,0.15,0.537,0.571,97.1,95.87,79.89,7887,0.555,1,1,1,1,25,5,4,1,5,3,1,26,3,15,9,2,3,11,1,2013-14
1610612761,Toronto Raptors,82,48,34,0.585,3991,105.8,107.9,102.4,104.6,3.5,3.3,0.581,1.5,16.4,0.312,0.701,0.505,0.151,0.498,0.545,94.4,92.48,77.07,7696,0.512,1,11,11,11,2,9,10,9,16,16,19,9,19,12,11,15,12,24,13,2013-14
